variant,auc,ci_lo,ci_hi
A base/small,0.6086052738680822,0.6064771224598723,0.6107494152770683
B base/big,0.6141266005344358,0.612037930481379,0.6161568217860245
C +relative/big,0.6218800361580875,0.6198748616232822,0.6237404590686783
