retriever,pool,recall@50,recall@100,recall@200
BM25,full,0.005974747474747474,0.00971560014060014,0.02427481731231731
BM25,live,0.05693883015133016,0.09116877381877381,0.13773523374773375
embedding (char-lsa),full,0.0021444444444444445,0.003783333333333334,0.0058089743589743595
embedding (char-lsa),live,0.01864855006105006,0.025168779831279832,0.04304874014874015
LSA (tf-idf svd),live,0.027062578162578163,0.044134828134828136,0.07607503653753653
popularity,live,0.5338444217819218,0.6697824633699634,0.815038782976283
