variant,auc,ci_lo,ci_hi
A base/small,0.7380441252452192,0.7363473294053728,0.7399171661835138
B base/big,0.737845339833093,0.7360783253857051,0.739712442841703
C +relative/big,0.7564863479224794,0.7548186721195431,0.7584204880590072
